"","i","j","k","model","pert","n","s"
"1",1,1,49,"zig",0.5,400,3
"2",1,1,49,"ziln",0,400,2
"3",1,1,49,"ziln",0,400,4
"4",1,1,49,"ziln",0.25,400,5
"5",1,1,49,"ziln",0.5,400,5
"6",1,3,49,"zig",0.5,400,8
"7",10,1,49,"zig",0.5,400,9
"8",3,1,49,"zig",0.5,400,10
"9",3,1,49,"zig",0.5,400,4
"10",3,1,49,"zig",0.5,400,5
"11",3,1,49,"zig",0.5,400,6
"12",3,1,49,"zig",0.5,400,7
"13",3,1,49,"zig",0.5,400,8
"14",3,1,49,"zig",0.5,400,9
"15",6,3,52,"ziln",0.25,400,6
"16",7,1,52,"ziln",0.25,80,4
"17",8,1,49,"zig",0.5,400,10
"18",8,1,49,"zig",0.5,400,5
"19",8,1,49,"zig",0.5,400,8
"20",8,1,49,"ziln",0.5,400,10
"21",8,5,46,"ziln",0.25,400,5
"22",8,5,49,"ziln",0.5,400,5
